analytic_id,parent_process_path,parent_process_name,process_path,process_name,process,user,score
s1,*,*,*,whoami.exe,*,*,1
s1,*,*,*,hostname.exe,*,*,1
s1,*,*,*,ipconfig.exe,*,*,1
s1,*,*,*,net.exe,*,*,1
s1,*,*,*,dir.exe,*,*,1
s1,*,*,*,tasklist.exe,*,*,1
s1,*,*,*,ver.exe,*,*,1
s1,*,*,*,set.exe,*,*,1
s1,*,*,*,reg.exe,*,*,1
s2,*,*,*,attrib.exe,*attrib* +h,*,1
s2,*,*,*,icacls.exe,*icacls*/grant Everyone:F /T /C /Q ,*,1
s2,*,*,*,taskdl.exe,*,*,1
s2,*,*,*,@WanaDecryptor@.exe,*,*,1
s2,*,*,*,taskhsvc.exe,*,*,1
s2,*,*,*,vssadmin.exe,*vssadmin* delete shadows /all /quiet,*,1
s2,*,*,*,WMIC.exe,*wmic*shadowcopy delete,*,1
s2,*,*,*,reg.exe,*reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v * /t REG_SZ /d "\"C:\tasksche.exe\"" /f,*,1
s2,*,*,*,taskkill.exe,taskkill.exe /f /im*,*,1
s3,*,rundll32.exe,*,explorer.exe,*,*,1
s3,*,rundll32.exe,*,schtasks.exe,*,*,1
s3,*,explorer.exe,*,eventvwr.exe,*,*,1
s3,*,eventvwr.exe,*,cmd.exe,*,*,1
s3,*,*,*,schtasks.exe,schtasks.exe Create /F /TN "*" /TR * /SC minute *,*,1
s3,*,*,*,schtasks.exe,schtasks.exe Create /F /TN "*" /TR * /SC minute *,*,1
s4,*,*,*,rundll32.exe,rundll32*dllmain,*,1
s4,*,rundll32.exe,*,explorer.exe,*,*,1
s4,*,rundll32.exe,*,svchost.exe,*,*,1
s5,*,svchost.exe,*,iexplore.exe,*,*,0
s5,*,explorer.exe,*,iexplore.exe,*,*,0
s5,*,outlook.exe,*,iexplore.exe,*,*,0
s5,*,iexplore.exe,*,iexplore.exe,*,*,0
s5,*,*,*,iexplore.exe,*,*,1
s5,*,iexplore.exe,*,services.exe,*,*,1
s5,*,iexplore.exe,*,winlogon.exe,*,*,1
s5,*,iexplore.exe,*,explorer.exe,*,*,1
s5,*,iexplore.exe,*,taskhost.exe,*,*,1
s5,*,iexplore.exe,*,conhost.exe,*,*,1
s5,*,iexplore.exe,*,dllhost.exe,*,*,1
s5,*,iexplore.exe,*,spoolsv.exe,*,*,1
s5,*,iexplore.exe,*,lsass.exe,*,*,1
s5,*,iexplore.exe,*,lsm.exe,*,*,1
